Catalogue Reference,"29.4919194, -98.4271969"
HL/PO/JO/10/1/77/1,"-27.4912287, 153.0297561"
HL/PO/JO/10/1/77/2,"51.6675856, -1.2829364"
HL/PO/JO/10/1/77/3,"51.640009, -1.2409889"
HL/PO/JO/10/1/77/4,"44.2619309, -88.4153847"
HL/PO/JO/10/1/77/5,"51.487596, -1.191849"
HL/PO/JO/10/1/77/6,"51.5696006, -1.1981131"
HL/PO/JO/10/1/77/7,"51.57372, -1.200817"
HL/PO/JO/10/1/77/8,"51.576084, 0.488736"
HL/PO/JO/10/1/77/9,"51.7127001, -1.3355883"
HL/PO/JO/10/1/77/10,"51.731378, -1.332203"
HL/PO/JO/10/1/77/11,"52.674688, 1.225551"
HL/PO/JO/10/1/77/12,"51.608044, -1.24484"
HL/PO/JO/10/1/77/13,"51.6708542, -1.3622956"
HL/PO/JO/10/1/77/14,"51.216231, -1.57829"
HL/PO/JO/10/1/77/15,"51.661879, -1.3831389"
HL/PO/JO/10/1/77/17,"51.584837, -1.2659206"
HL/PO/JO/10/1/77/18,"51.601327, -1.288948"
HL/PO/JO/10/1/77/20,"51.646945, -1.433955"
HL/PO/JO/10/1/77/21,"51.667509, -1.341658"
HL/PO/JO/10/1/77/22,"43.5182991, -79.8774042"
HL/PO/JO/10/1/77/23,"50.702821, -2.285468"
HL/PO/JO/10/1/77/24,"50.702821, -2.285468"
HL/PO/JO/10/1/77/25,"51.552133, -1.152007"
HL/PO/JO/10/1/77/26,"51.688986, -1.241173"
HL/PO/JO/10/1/77/27,"51.681325, -1.303987"
HL/PO/JO/10/1/77/28,"51.62533, -1.328262"
HL/PO/JO/10/1/77/29,"51.525571, -1.151665"
HL/PO/JO/10/1/77/30,"51.7010627, -1.2846056"
HL/PO/JO/10/1/77/31,"51.6408739, -1.277537"
HL/PO/JO/10/1/77/32,"45.6492664, -72.6941841"
HL/PO/JO/10/1/77/33,"51.638636, -1.183332"
HL/PO/JO/10/1/77/34,"51.640774, -1.207528"
HL/PO/JO/10/1/77/35,"51.775425, -1.307819"
HL/PO/JO/10/1/77/36,"51.511981, -1.196279"
HL/PO/JO/10/1/77/37,"51.498814, -1.301754"
HL/PO/JO/10/1/77/38,"42.6611604, -70.996726"
HL/PO/JO/10/1/77/39,"42.3748844, -71.2229112"
HL/PO/JO/10/1/77/40,"51.379338, -1.197486"
HL/PO/JO/10/1/77/41,"51.494088, -1.405369"
HL/PO/JO/10/1/77/42,"51.6121709, -1.4922899"
HL/PO/JO/10/1/77/43,"51.6121709, -1.4922899"
HL/PO/JO/10/1/77/44,"51.461777, -1.318775"
HL/PO/JO/10/1/77/45,"54.664062, -1.556089"
HL/PO/JO/10/1/77/46,"33.8958492, -118.2200712"
HL/PO/JO/10/1/77/47,"41.5456557, -88.2529725"
HL/PO/JO/10/1/77/48,"51.2868939, -0.752615"
HL/PO/JO/10/1/77/49,"50.82878, -1.353232"
HL/PO/JO/10/1/77/1,"-27.4912287, 153.0297561"
HL/PO/JO/10/1/77/2,"51.6675856, -1.2829364"
HL/PO/JO/10/1/77/3,"51.640009, -1.2409889"
HL/PO/JO/10/1/77/4,"44.2619309, -88.4153847"
HL/PO/JO/10/1/77/5,"51.487596, -1.191849"
HL/PO/JO/10/1/77/6,"51.5696006, -1.1981131"
HL/PO/JO/10/1/77/7,"51.57372, -1.200817"
HL/PO/JO/10/1/77/8,"51.576084, 0.488736"
HL/PO/JO/10/1/77/9,"51.7127001, -1.3355883"
HL/PO/JO/10/1/77/10,"51.731378, -1.332203"
HL/PO/JO/10/1/77/11,"52.674688, 1.225551"
HL/PO/JO/10/1/77/12,"51.608044, -1.24484"
HL/PO/JO/10/1/77/13,"51.6708542, -1.3622956"
HL/PO/JO/10/1/77/14,"51.216231, -1.57829"
HL/PO/JO/10/1/77/15,"51.661879, -1.3831389"
HL/PO/JO/10/1/77/17,"51.584837, -1.2659206"
HL/PO/JO/10/1/77/18,"51.601327, -1.288948"
HL/PO/JO/10/1/77/20,"51.646945, -1.433955"
HL/PO/JO/10/1/77/21,"51.667509, -1.341658"
HL/PO/JO/10/1/77/22,"43.5182991, -79.8774042"
HL/PO/JO/10/1/77/23,"50.702821, -2.285468"
HL/PO/JO/10/1/77/24,"50.702821, -2.285468"
HL/PO/JO/10/1/77/25,"51.552133, -1.152007"
HL/PO/JO/10/1/77/26,"51.688986, -1.241173"
HL/PO/JO/10/1/77/27,"51.681325, -1.303987"
HL/PO/JO/10/1/77/28,"51.62533, -1.328262"
HL/PO/JO/10/1/77/29,"51.525571, -1.151665"
HL/PO/JO/10/1/77/30,"51.7010627, -1.2846056"
HL/PO/JO/10/1/77/31,"51.6408739, -1.277537"
HL/PO/JO/10/1/77/32,"45.6492664, -72.6941841"
HL/PO/JO/10/1/77/33,"51.638636, -1.183332"
HL/PO/JO/10/1/77/34,"51.640774, -1.207528"
HL/PO/JO/10/1/77/35,"51.775425, -1.307819"
HL/PO/JO/10/1/77/36,"51.511981, -1.196279"
HL/PO/JO/10/1/77/37,"51.498814, -1.301754"
HL/PO/JO/10/1/77/38,"42.6611604, -70.996726"
HL/PO/JO/10/1/77/39,"42.3748844, -71.2229112"
HL/PO/JO/10/1/77/40,"51.379338, -1.197486"
HL/PO/JO/10/1/77/41,"51.494088, -1.405369"
HL/PO/JO/10/1/77/42,"51.6121709, -1.4922899"
HL/PO/JO/10/1/77/43,"51.6121709, -1.4922899"
HL/PO/JO/10/1/77/44,"51.461777, -1.318775"
HL/PO/JO/10/1/77/45,"54.664062, -1.556089"
HL/PO/JO/10/1/77/46,"33.8958492, -118.2200712"
HL/PO/JO/10/1/77/47,"41.5456557, -88.2529725"
HL/PO/JO/10/1/77/48,"51.2868939, -0.752615"
HL/PO/JO/10/1/77/49,"50.82878, -1.353232"
churst. [Tilehurst].,"57.4755555, -132.3597222"
HL/PO/JO/10/1/77/101,"52.254967, -1.444418"
HL/PO/JO/10/1/77/102,"51.40081, -1.173704"
HL/PO/JO/10/1/78/1,"51.305996, 0.3745839"
HL/PO/JO/10/1/78/2,"46.0467545, -71.0768685"
HL/PO/JO/10/1/78/3,"52.033, -0.97"
HL/PO/JO/10/1/78/4,"53.686675, -0.443368"
HL/PO/JO/10/1/78/5,"52.02691, -0.876207"
HL/PO/JO/10/1/78/6,"52.05493, -1.073477"
HL/PO/JO/10/1/78/7,"51.9201788, -1.1465561"
HL/PO/JO/10/1/78/8,"51.961422, -1.068876"
HL/PO/JO/10/1/78/9,"51.8942, -1.016792"
HL/PO/JO/10/1/78/10,"51.6586885, -1.86914"
