Catalogue Reference,Title,Date,,Longitude,Latitude,Place co-ordinates,Landing Page URL,External resource URL,target,NominatimLL,YahooLL
HL/PO/JO/10/1/77/1,Protestation Return - Berkshire - Abingdon Division - Abingdon (division).,1642,Protestation Returns,449580.5,197278.2,449580.5 : 197278.2,,,Abingdon (division),<null>,<null>
HL/PO/JO/10/1/77/2,Protestation Return - Berkshire - Abingdon Division - Abingdon (parish).,1642,Protestation Returns,449580.5,197278.2,,,,Abingdon (parish),<null>,<null>
HL/PO/JO/10/1/77/3,Protestation Return - Berkshire - Abingdon Division - Appleford.,1642,Protestation Returns,452888.45,192972.65,,,,Appleford,"51.6391211, -1.2400298",<null>
HL/PO/JO/10/1/77/4,Protestation Return - Berkshire - Abingdon Division - Appleton.,1642,Protestation Returns,443991.45,202422.65,,,,Appleton,"51.7098231, -1.3627799",<null>
HL/PO/JO/10/1/77/5,Protestation Return - Berkshire - Abingdon Division - Ashampstead.,1642,Protestation Returns,456773.75,176229.5,,,,Ashampstead,"51.4876934, -1.1865168",<null>
HL/PO/JO/10/1/77/6,Protestation Return - Berkshire - Abingdon Division - Aston Tirrold.,1642,Protestation Returns,,,,,,Aston Tirrold,"51.5700494, -1.1969165",<null>
HL/PO/JO/10/1/77/7,Protestation Return - Berkshire - Abingdon Division - Ashton Upthorpe.,1642,Protestation Returns,,,,,,Ashton Upthorpe,<null>,<null>
HL/PO/JO/10/1/77/8,Protestation Return - Berkshire - Abingdon Division - Basildon.,1642,Protestation Returns,,,,,,Basildon,"51.5754602, 0.4757363",<null>
HL/PO/JO/10/1/77/9,Protestation Return - Berkshire - Abingdon Division - Besselsleigh.,1642,Protestation Returns,,,,,,Besselsleigh,"51.70840745, -1.33653269800774",<null>
HL/PO/JO/10/1/77/10,Protestation Return - Berkshire - Abingdon Division - Cumnor and tithings.,1642,Protestation Returns,,,,,,Cumnor and tithings,<null>,<null>
HL/PO/JO/10/1/77/11,Protestation Return - Berkshire - Abingdon Division - Drayton.,1642,Protestation Returns,,,,,,Drayton,"52.67621385, 1.22746597596868",<null>
HL/PO/JO/10/1/77/12,Protestation Return - Berkshire - Abingdon Division - Dudcott (Didcot).,1642,Protestation Returns,,,,,,Dudcott (Didcot),<null>,<null>
HL/PO/JO/10/1/77/13,Protestation Return - Berkshire - Abingdon Division - Frilford.,1642,Protestation Returns,,,,,,Frilford,"51.67520455, -1.3762360420109",<null>
HL/PO/JO/10/1/77/14,Protestation Return - Berkshire - Abingdon Division - Fyfield.,1642,Protestation Returns,,,,,,Fyfield,"51.6872279, -1.3915106",<null>
HL/PO/JO/10/1/77/15,Protestation Return - Berkshire - Abingdon Division - Garford.,1642,Protestation Returns,,,,,,Garford,"51.6624748, -1.3848258",<null>
HL/PO/JO/10/1/77/16,Protestation Return - Berkshire - Abingdon Division - Grampold (Grandpont).,1642,Protestation Returns,,,,,,Grampold (Grandpont),<null>,<null>
HL/PO/JO/10/1/77/17,"Protestation Return - Berkshire - Abingdon Division - Hagbourne, East and West.",1642,Protestation Returns,,,,,,"Hagbourne, East and West","51.5875468, -1.2617513",<null>
HL/PO/JO/10/1/77/18,Protestation Return - Berkshire - Abingdon Division - Harwell.,1642,Protestation Returns,,,,,,Harwell,"51.5999743, -1.2909164",<null>
HL/PO/JO/10/1/77/19,Protestation Return - Berkshire - Abingdon Division - Kingston Bagpinge.,1642,Protestation Returns,,,,,,Kingston Bagpinge,<null>,<null>
HL/PO/JO/10/1/77/20,Protestation Return - Berkshire - Abingdon Division - Lyford.,1642,Protestation Returns,,,,,,Lyford,"51.6462446, -1.4354038",<null>
HL/PO/JO/10/1/77/21,Protestation Return - Berkshire - Abingdon Division - Marcham.,1642,Protestation Returns,,,,,,Marcham,"51.6679922, -1.3412887",<null>
HL/PO/JO/10/1/77/22,Protestation Return - Berkshire - Abingdon Division - Milton.,1642,Protestation Returns,,,,,,Milton,"52.2422961, 0.1604726",<null>
HL/PO/JO/10/1/77/23,"Protestation Return - Berkshire - Abingdon Division - Moreton, North.",1642,Protestation Returns,,,,,,"Moreton, North","53.4009232, -3.1132336",<null>
HL/PO/JO/10/1/77/24,"Protestation Return - Berkshire - Abingdon Division - Moreton, South.",1642,Protestation Returns,,,,,,"Moreton, South","51.7410823, 0.2199036",<null>
HL/PO/JO/10/1/77/25,Protestation Return - Berkshire - Abingdon Division - Moulsford.,1642,Protestation Returns,,,,,,Moulsford,"51.5505507, -1.1495742",<null>
HL/PO/JO/10/1/77/26,Protestation Return - Berkshire - Abingdon Division - Radley.,1642,Protestation Returns,,,,,,Radley,"51.6867299, -1.2385202",<null>
HL/PO/JO/10/1/77/27,Protestation Return - Berkshire - Abingdon Division - Shippon.,1642,Protestation Returns,,,,,,Shippon,"51.6797507, -1.307301",<null>
HL/PO/JO/10/1/77/28,Protestation Return - Berkshire - Abingdon Division - Steventon.,1642,Protestation Returns,,,,,,Steventon,"51.2289303, -1.2190958",<null>
HL/PO/JO/10/1/77/29,Protestation Return - Berkshire - Abingdon Division - Streatley.,1642,Protestation Returns,,,,,,Streatley,"51.9463121, -0.4454221",<null>
HL/PO/JO/10/1/77/30,Protestation Return - Berkshire - Abingdon Division - Sunningwell.,1642,Protestation Returns,,,,,,Sunningwell,"51.7016211, -1.28274039368901",<null>
HL/PO/JO/10/1/77/31,Protestation Return - Berkshire - Abingdon Division - Sutton Courtney.,1642,Protestation Returns,,,,,,Sutton Courtney,"53.7535183, -0.3182229",<null>
HL/PO/JO/10/1/77/32,Protestation Return - Berkshire - Abingdon Division - Upton.,1642,Protestation Returns,,,,,,Upton,"51.0505535, -3.433098",<null>
HL/PO/JO/10/1/77/33,"Protestation Return - Berkshire - Abingdon Division - Wittenham, Little.",1642,Protestation Returns,,,,,,"Wittenham, Little","51.6341619, -1.1865769",<null>
HL/PO/JO/10/1/77/34,"Protestation Return - Berkshire - Abingdon Division - Wittenham, Long.",1642,Protestation Returns,,,,,,"Wittenham, Long","51.6383832, -1.20778518895671",<null>
HL/PO/JO/10/1/77/35,Protestation Return - Berkshire - Abingdon Division - Wytham.,1642,Protestation Returns,,,,,,Wytham,"51.7748176, -1.3116013",<null>
HL/PO/JO/10/1/77/36,Protestation Return - Berkshire - Newbury Division - Aldworth.,1642,Protestation Returns,,,,,,Aldworth,"51.511926, -1.2004347",<null>
HL/PO/JO/10/1/77/37,Protestation Return - Berkshire - Newbury Division - Beedon.,1642,Protestation Returns,,,,,,Beedon,"51.5001333, -1.3065601",<null>
HL/PO/JO/10/1/77/38,Protestation Return - Berkshire - Newbury Division - Boxford.,1642,Protestation Returns,,,,,,Boxford,"52.029187, 0.8598002",<null>
HL/PO/JO/10/1/77/39,Protestation Return - Berkshire - Newbury Division - Brightwaltham.,1642,Protestation Returns,,,,,,Brightwaltham,<null>,<null>
HL/PO/JO/10/1/77/40,Protestation Return - Berkshire - Newbury Division - Brimpton.,1642,Protestation Returns,,,,,,Brimpton,"51.3786132, -1.1989082",<null>
HL/PO/JO/10/1/77/41,Protestation Return - Berkshire - Newbury Division - Chaddleworth.,1642,Protestation Returns,,,,,,Chaddleworth,"51.4935149, -1.4033661",<null>
HL/PO/JO/10/1/77/42,"Protestation Return - Berkshire - Newbury Division - Challow, East.",1642,Protestation Returns,,,,,,"Challow, East","51.5908018, -1.4538853",<null>
HL/PO/JO/10/1/77/43,"Protestation Return - Berkshire - Newbury Division - Challow, West.",1642,Protestation Returns,,,,,,"Challow, West","51.592918, -1.470725",<null>
HL/PO/JO/10/1/77/44,Protestation Return - Berkshire - Newbury Division - Chieveley (including Courage Snelsmore and Oare).,1642,Protestation Returns,,,,,,Chieveley (including Courage Snelsmore and Oare),<null>,<null>
HL/PO/JO/10/1/77/45,Protestation Return - Berkshire - Newbury Division - Chilton.,1642,Protestation Returns,,,,,,Chilton,"51.5694481, -1.2953382",<null>
HL/PO/JO/10/1/77/46,Protestation Return - Berkshire - Newbury Division - Compton.,1642,Protestation Returns,,,,,,Compton,"51.5155951, -1.2451999",<null>
HL/PO/JO/10/1/77/47,Protestation Return - Berkshire - Newbury Division - Enborn.,1642,Protestation Returns,,,,,,Enborn,<null>,<null>
HL/PO/JO/10/1/77/48,Protestation Return - Berkshire - Newbury Division - Farnborough.,1642,Protestation Returns,,,,,,Farnborough,"51.294147, -0.7564956",<null>
HL/PO/JO/10/1/77/49,Protestation Return - Berkshire - Newbury Division - Fawley.,1642,Protestation Returns,,,,,,Fawley,"51.5296931, -1.4353837",<null>
HL/PO/JO/10/1/77/50,Protestation Return - Berkshire - Newbury Division - Frilsham.,1642,Protestation Returns,,,,,,Frilsham,"51.4528532, -1.2190356",<null>
HL/PO/JO/10/1/77/51,Protestation Return - Berkshire - Newbury Division - Greenham.,1642,Protestation Returns,,,,,,Greenham,"50.9744238, -3.3127389",<null>
HL/PO/JO/10/1/77/52,Protestation Return - Berkshire - Newbury Division - Hampstead Marshall.,1642,Protestation Returns,,,,,,Hampstead Marshall,"51.3884956, -1.4094989",<null>
HL/PO/JO/10/1/77/53,Protestation Return - Berkshire - Newbury Division - Hampstead Norris.,1642,Protestation Returns,,,,,,Hampstead Norris,<null>,<null>
HL/PO/JO/10/1/77/54,Protestation Return - Berkshire - Newbury Division - Hungerford.,1642,Protestation Returns,,,,,,Hungerford,"51.4154718, -1.518917",<null>
HL/PO/JO/10/1/77/55,"Protestation Return - Berkshire - Newbury Division - Ilsley, East.",1642,Protestation Returns,,,,,,"Ilsley, East","51.5263474, -1.2925446",<null>
HL/PO/JO/10/1/77/56,"Protestation Return - Berkshire - Newbury Division - Ilsley, West.",1642,Protestation Returns,,,,,,"Ilsley, West","51.5263474, -1.2925446",<null>
HL/PO/JO/10/1/77/57,Protestation Return - Berkshire - Newbury Division - Inkpen.,1642,Protestation Returns,,,,,,Inkpen,"51.3743298, -1.481743",<null>
HL/PO/JO/10/1/77/58,Protestation Return - Berkshire - Newbury Division - Kentbury.,1642,Protestation Returns,,,,,,Kentbury,<null>,<null>
HL/PO/JO/10/1/77/59,Protestation Return - Berkshire - Newbury Division - Leckhampstead.,1642,Protestation Returns,,,,,,Leckhampstead,"52.0336802, -0.9402602",<null>
HL/PO/JO/10/1/77/60,Protestation Return - Berkshire - Newbury Division - Letcombe Bassett.,1642,Protestation Returns,,,,,,Letcombe Bassett,"51.5629458, -1.4629412",<null>
HL/PO/JO/10/1/77/61,Protestation Return - Berkshire - Newbury Division - Letcombe Regis.,1642,Protestation Returns,,,,,,Letcombe Regis,"51.5762866, -1.45213",<null>
