Catalogue Reference,Title,Date,,Longitude,Latitude,Place co-ordinates,Landing Page URL,External resource URL
HL/PO/JO/10/1/77/1,Protestation Return - Berkshire - Abingdon Division - Abingdon (division).,1642,Protestation Returns,449580.5,197278.2,449580.5 : 197278.2,,
HL/PO/JO/10/1/77/2,Protestation Return - Berkshire - Abingdon Division - Abingdon (parish).,1642,Protestation Returns,449580.5,197278.2,,,
HL/PO/JO/10/1/77/3,Protestation Return - Berkshire - Abingdon Division - Appleford.,1642,Protestation Returns,452888.45,192972.65,,,
HL/PO/JO/10/1/77/4,Protestation Return - Berkshire - Abingdon Division - Appleton.,1642,Protestation Returns,443991.45,202422.65,,,
HL/PO/JO/10/1/77/5,Protestation Return - Berkshire - Abingdon Division - Ashampstead.,1642,Protestation Returns,456773.75,176229.5,,,
HL/PO/JO/10/1/77/6,Protestation Return - Berkshire - Abingdon Division - Aston Tirrold.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/7,Protestation Return - Berkshire - Abingdon Division - Ashton Upthorpe.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/8,Protestation Return - Berkshire - Abingdon Division - Basildon.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/9,Protestation Return - Berkshire - Abingdon Division - Besselsleigh.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/10,Protestation Return - Berkshire - Abingdon Division - Cumnor and tithings.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/11,Protestation Return - Berkshire - Abingdon Division - Drayton.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/12,Protestation Return - Berkshire - Abingdon Division - Dudcott (Didcot).,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/13,Protestation Return - Berkshire - Abingdon Division - Frilford.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/14,Protestation Return - Berkshire - Abingdon Division - Fyfield.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/15,Protestation Return - Berkshire - Abingdon Division - Garford.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/16,Protestation Return - Berkshire - Abingdon Division - Grampold (Grandpont).,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/17,"Protestation Return - Berkshire - Abingdon Division - Hagbourne, East and West.",1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/18,Protestation Return - Berkshire - Abingdon Division - Harwell.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/19,Protestation Return - Berkshire - Abingdon Division - Kingston Bagpinge.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/20,Protestation Return - Berkshire - Abingdon Division - Lyford.,1642,Protestation Returns,,,,,
